item set size (N),co-occurrence frequency,item 1 id,item 2 id,item 3 id
3,63,39,48,2241
3,63,41,48,1986
3,63,39,48,806
3,62,38,39,60
3,62,32,48,110
3,62,30,39,48
3,62,41,48,1578
3,62,39,48,1113
3,62,32,48,824
3,62,38,41,3904
3,62,39,41,200
3,62,32,39,1859
3,61,39,41,371
3,61,39,48,426
3,61,38,48,255
3,61,19,39,41
3,61,39,41,1233
3,61,32,48,1344
3,61,39,48,1867
3,61,32,41,101
3,61,39,48,1872
3,61,41,48,1004
3,61,9,32,48
3,61,32,48,1859
3,61,39,48,916
3,61,39,41,766
3,61,32,39,783
3,61,39,48,341
3,60,39,47,48
3,60,41,48,175
3,60,39,48,178
3,60,48,65,89
3,60,39,41,260
3,60,39,41,806
3,60,39,41,340
3,60,38,39,1590
3,60,39,48,878
3,60,39,270,2238
3,60,39,48,2437
3,60,32,41,147
3,60,39,48,514
3,60,32,48,79
3,60,41,48,549
3,59,38,48,56
3,59,39,48,793
3,59,39,48,829
3,59,38,39,390
3,59,32,41,110
3,59,38,39,101
3,59,32,39,1344
3,59,39,41,571
3,59,39,48,2103
3,59,39,48,2633
3,59,39,41,549
3,59,39,48,1417
3,59,9,32,39
3,58,39,41,45
3,58,39,48,251
3,58,38,48,147
3,58,39,225,270
3,58,38,39,249
3,58,32,48,117
3,58,41,48,535
3,58,32,48,338
3,58,41,48,1135
3,58,39,48,2051
3,58,36,38,170
3,58,32,48,1715
3,58,39,48,2440
3,58,32,48,185
3,58,39,48,2284
3,58,39,48,432
3,58,41,48,9501
3,57,39,48,55
3,57,38,48,370
3,57,38,39,740
3,57,39,48,809
3,57,39,48,910
3,57,32,39,301
3,57,32,48,533
3,57,39,48,1144
3,57,32,39,824
3,57,41,48,200
3,57,39,41,279
3,57,32,41,79
3,57,41,48,2199
3,57,39,41,812
3,57,32,48,1198
3,57,39,48,2118
3,57,39,271,2238
3,57,39,48,1765
3,57,38,48,3904
3,57,39,41,2056
3,57,39,41,913
3,57,32,48,78
3,57,41,48,1486
3,56,38,39,79
3,56,38,41,370
3,56,39,65,89
3,56,38,41,270
3,56,39,41,272
3,56,19,41,48
3,56,39,48,1013
3,56,38,41,101
3,56,39,48,1513
3,56,41,48,464
3,56,39,48,2187
3,56,41,48,479
3,56,39,41,1435
3,56,39,48,2383
3,56,32,39,677
3,56,32,39,2238
3,56,39,41,3904
3,56,32,41,352
3,56,39,41,623
3,56,39,41,53
3,55,38,41,147
3,55,39,48,831
3,55,39,48,75
3,55,39,48,155
3,55,38,48,101
3,55,32,48,604
3,55,39,41,1486
3,55,32,48,1135
3,55,41,48,488
3,55,39,41,413
3,55,39,48,2046
3,55,39,48,1714
3,55,39,48,4111
3,55,41,48,2168
3,54,39,48,281
3,54,39,41,374
3,54,41,48,384
3,54,39,41,396
3,54,39,48,785
3,54,41,117,976
3,54,38,39,533
3,54,39,48,1444
3,54,32,48,677
3,54,39,48,961
3,54,32,38,286
3,54,39,41,2437
3,54,39,41,2440
3,54,32,39,123
3,54,41,48,1677
3,54,38,48,1344
3,54,32,39,78
3,54,39,41,1783
3,54,39,41,1677
3,53,39,48,66
3,53,41,48,340
3,53,41,48,740
3,53,41,48,798
3,53,39,41,259
3,53,39,48,1055
3,53,38,39,504
3,53,39,41,1067
3,53,39,48,856
3,53,39,48,1585
3,53,39,41,1135
3,53,41,48,161
3,53,41,48,1872
3,53,41,48,365
3,53,39,48,2015
3,53,39,41,464
3,53,39,89,310
3,53,38,48,2238
3,53,39,41,186
3,53,32,39,1715
3,53,39,41,2199
3,53,39,48,2065
3,53,39,48,2505
3,53,39,41,488
3,53,39,48,978
3,53,32,39,185
3,53,38,48,840
3,53,39,41,407
3,53,39,48,2987
3,53,32,48,783
3,53,39,48,414
3,53,39,48,4650
3,53,39,41,4698
3,52,39,48,348
3,52,38,41,105
3,52,39,41,798
3,52,9,38,39
3,52,39,48,1027
3,52,32,39,117
3,52,32,48,301
3,52,39,48,1277
3,52,41,48,749
3,52,39,41,772
3,52,41,48,49
3,52,38,41,281
3,52,39,41,664
3,52,41,225,271
3,52,41,48,766
3,52,32,48,123
3,52,41,48,407
3,52,39,48,2425
3,52,39,41,267
3,52,41,48,1783
3,52,39,41,1355
3,52,39,48,3904
3,52,39,647,769
3,52,39,48,1030
3,52,38,39,8978
3,52,39,48,9555
3,51,38,48,270
3,51,39,48,830
3,51,32,41,533
3,51,39,48,751
3,51,38,41,271
3,51,39,41,681
3,51,39,48,1930
3,51,39,41,2552
3,51,39,48,3102
3,51,39,48,1557
3,51,32,39,338
3,51,647,769,1034
3,50,32,48,179
3,50,38,48,390
3,50,39,48,490
3,50,39,48,1062
3,50,38,48,271
3,50,39,48,420
3,50,38,41,604
3,50,41,48,1814
3,50,41,270,2238
3,50,41,48,1956
3,50,39,41,878
3,50,39,48,2325
3,50,39,41,1966
3,50,39,48,2775
3,50,41,48,623
3,50,32,48,522
3,50,39,48,4336
3,50,32,48,1004
3,50,32,39,522
3,50,41,48,913
3,50,32,39,8978
3,49,32,39,179
3,49,39,41,379
3,49,39,48,435
3,49,23,41,48
3,49,39,48,150
3,49,39,48,947
3,49,38,39,1121
3,49,39,48,885
3,49,38,41,255
3,49,41,48,571
3,49,39,41,591
3,49,39,48,2344
3,49,41,48,94
3,49,38,39,1986
3,49,38,39,3005
3,49,41,48,812
3,49,39,41,261
3,49,39,48,3502
3,49,38,41,1344
3,49,32,48,2958
3,49,39,41,3966
3,49,41,225,2238
3,49,39,41,2284
3,49,39,48,209
3,49,39,48,842
3,49,48,225,271
3,48,10,41,48
3,48,39,41,1239
3,48,41,48,1067
3,48,39,41,1214
3,48,38,39,570
3,48,39,48,703
3,48,39,48,1938
3,48,39,41,269
3,48,38,39,1529
3,48,48,89,310
3,48,38,41,2238
3,48,39,48,887
3,48,41,48,2437
3,48,41,48,186
3,48,38,39,1393
3,48,38,39,78
3,48,2,39,48
3,48,39,48,1698
3,48,41,48,1435
3,48,39,48,2990
3,48,39,41,1814
3,48,41,48,2552
3,48,39,41,1034
3,48,39,41,2633
3,48,39,48,3735
3,48,39,41,1714
3,48,38,39,846
3,48,39,41,675
3,47,39,48,195
3,47,38,48,604
3,47,39,41,793
3,47,39,48,808
3,47,39,48,1196
3,47,32,48,592
3,47,38,110,170
3,47,39,48,1786
3,47,32,39,208
3,47,39,41,1872
3,47,41,48,259
3,47,38,39,855
3,47,39,41,449
3,47,39,48,398
3,47,31,41,48
3,47,38,39,156
3,47,32,39,1393
3,47,39,48,1372
3,47,32,39,544
3,47,39,48,647
3,47,39,48,3799
3,47,48,769,1034
3,47,39,48,10611
3,46,39,41,246
3,46,41,48,246
3,46,41,48,345
3,46,41,48,396
3,46,38,48,533
3,46,39,48,433
3,46,39,48,441
3,46,41,48,793
3,46,32,39,589
3,46,10,39,41
3,46,39,237,475
3,46,39,48,1425
3,46,30,39,41
3,46,32,39,592
3,46,39,297,544
3,46,39,89,237
3,46,39,48,1103
3,46,32,37,38
3,46,39,48,2091
3,46,32,41,2238
3,46,39,65,310
3,46,48,65,310
3,46,39,41,1144
3,46,38,39,2805
3,46,39,48,1361
3,46,41,48,1966
3,46,41,48,261
3,46,39,48,1976
3,46,39,41,52
3,46,39,48,2075
3,46,32,48,1121
3,46,38,39,175
3,46,41,48,53
3,46,41,48,4698
3,46,38,41,840
3,46,38,769,1034
3,45,39,41,105
3,45,32,38,47
3,45,41,48,379
3,45,38,41,390
3,45,39,48,491
3,45,39,48,704
3,45,39,41,916
3,45,39,41,1013
3,45,39,41,910
3,45,39,41,978
3,45,39,48,1257
3,45,39,48,1481
3,45,39,48,136
3,45,41,48,269
3,45,39,41,2103
3,45,41,48,279
3,45,39,41,2046
3,45,41,48,2329
3,45,39,41,1956
3,45,39,48,1020
3,45,39,41,195
3,45,32,352,1859
3,45,36,38,110
3,45,39,48,2343
3,45,32,38,225
3,45,38,39,1034
3,45,39,48,2399
3,45,32,39,1121
3,45,32,48,249
3,45,32,41,1859
3,45,39,48,204
3,45,41,48,3904
3,45,39,41,66
3,45,41,48,806
3,44,32,41,60
3,44,39,48,248
3,44,38,48,60
3,44,41,48,374
3,44,39,41,370
3,44,39,48,370
3,44,39,48,563
3,44,38,48,78
3,44,41,48,809
3,44,41,48,55
3,44,39,48,987
3,44,32,39,789
3,44,41,48,425
3,44,39,48,213
3,44,32,41,301
3,44,32,39,1135
3,44,39,48,1642
3,44,39,48,1809
3,44,38,170,1327
3,44,38,89,170
3,44,38,48,249
3,44,38,48,855
3,44,41,48,591
3,44,38,41,56
3,44,39,41,345
3,44,39,41,49
3,44,39,41,1043
3,44,39,48,1080
3,44,32,48,3270
3,44,32,48,846
3,44,39,48,458
3,44,32,39,1004
3,44,41,48,2440
3,44,39,310,1146
3,44,41,48,878
3,44,48,297,544
3,44,39,48,10170
3,43,38,41,79
3,43,39,48,723
3,43,48,237,475
3,43,39,41,1425
3,43,39,48,1543
3,43,39,41,425
3,43,32,41,208
3,43,39,48,581
3,43,39,41,1417
3,43,32,48,2238
3,43,39,48,2267
3,43,39,41,281
3,43,39,48,1704
3,43,39,48,309
3,43,38,48,117
3,43,32,39,846
3,43,48,225,2238
3,43,39,48,319
3,43,38,39,3270
3,43,38,48,3270
3,43,41,48,1355
3,43,39,175,806
3,43,41,48,52
3,43,41,48,2056
3,42,39,48,50
3,42,38,39,264
3,42,32,41,255
3,42,39,48,760
3,42,39,41,809
3,42,32,41,185
3,42,38,39,1188
3,42,41,48,1239
3,42,39,48,397
3,42,41,48,1233
3,42,39,41,1372
3,42,38,39,1198
3,42,38,48,570
3,42,32,41,1344
3,42,39,48,643
3,42,39,41,694
3,42,39,41,2425
3,42,39,41,2329
3,42,39,41,2241
3,42,39,48,2524
3,42,39,41,703
3,42,39,48,2812
3,42,32,41,438
3,42,39,41,751
3,42,15,39,48
3,42,39,48,347
3,42,32,38,310
3,42,39,48,3291
3,42,39,48,165
3,42,39,48,3411
3,42,39,48,1010
3,42,32,41,1198
3,42,38,39,3616
3,42,32,39,956
3,42,32,48,1393
3,42,38,48,1121
3,42,32,41,783
3,42,39,41,1765
3,42,39,48,2413
3,42,41,48,267
3,42,39,41,2187
3,42,32,270,271
3,42,39,48,2818
3,42,39,48,8837
3,42,39,41,9555
3,41,39,48,56
3,41,48,89,101
3,41,39,48,168
3,41,36,38,237
3,41,48,225,270
3,41,39,48,550
3,41,32,39,570
3,41,41,48,272
3,41,39,48,739
3,41,39,48,1012
3,41,39,48,1185
3,41,32,41,604
3,41,30,41,48
3,41,9,38,48
3,41,32,41,592
3,41,39,48,1796
3,41,38,41,249
3,41,41,48,2103
3,41,41,48,664
3,41,41,48,681
3,41,39,48,133
3,41,39,48,2492
3,41,39,48,2523
3,41,39,41,334
3,41,9,32,41
3,41,39,41,2325
3,41,48,65,1327
3,41,39,48,485
3,41,32,48,1046
3,41,39,41,2065
3,41,39,48,1379
3,41,32,48,208
3,41,41,48,2187
3,41,39,48,3279
3,41,39,48,840
3,41,39,48,1123
3,41,18,32,39
3,41,39,41,242
3,41,38,41,846
3,41,39,48,2879
3,41,39,41,1543
3,41,39,41,865
3,41,39,48,986
3,41,39,48,4207
3,41,39,48,4975
3,41,39,48,5051
3,41,32,39,258
3,41,39,225,310
3,41,41,48,979
3,41,39,41,829
3,41,39,48,9617
3,40,38,48,79
3,40,39,41,80
3,40,39,48,80
3,40,32,39,47
3,40,39,41,348
3,40,39,41,727
3,40,39,48,543
3,40,41,48,910
3,40,39,48,1172
3,40,39,48,1269
3,40,41,48,413
3,40,39,41,1557
3,40,39,48,1616
3,40,39,48,1655
3,40,39,48,2191
3,40,41,48,449
3,40,32,48,956
3,40,39,48,1052
3,40,38,48,208
3,40,41,48,772
3,40,39,48,2147
3,40,32,38,65
3,40,39,41,2812
3,40,39,41,769
3,40,39,48,1987
3,40,39,48,1624
3,40,39,48,3462
3,40,39,48,718
3,40,32,41,1715
3,40,32,39,1046
3,40,32,48,488
3,40,39,48,215
3,40,38,48,264
3,40,39,41,2343
3,40,39,48,5248
3,40,41,310,1146
3,40,32,1146,3616
3,40,38,39,769
3,40,48,647,769
3,40,32,48,8978
3,40,39,41,9617
3,40,39,48,10446
3,39,38,39,267
3,39,39,48,278
3,39,38,41,60
3,39,38,41,504
3,39,41,225,270
3,39,38,39,161
3,39,41,48,260
3,39,39,48,715
3,39,41,48,727
3,39,38,41,47
3,39,38,39,589
3,39,38,41,1188
3,39,39,48,220
3,39,39,48,1315
3,39,41,48,1425
3,39,38,39,592
3,39,32,41,677
3,39,38,39,123
3,39,39,41,251
3,39,38,41,438
3,39,32,41,338
3,39,38,39,1831
3,39,38,39,1578
3,39,38,39,185
3,39,39,48,390
3,39,38,48,1393
3,39,39,48,1060
3,39,38,39,783
3,39,32,48,1956
3,39,32,39,249
3,39,38,39,117
3,39,18,32,48
3,39,39,41,2505
3,39,39,48,2464
3,39,39,65,225
3,39,39,48,3774
3,39,270,271,2238
3,39,41,48,514
3,39,48,270,2238
3,39,39,1819,3311
3,39,38,39,260
3,39,39,48,4899
3,39,32,39,979
3,39,48,310,1146
3,39,32,41,3616
3,39,39,41,8691
3,38,39,48,424
3,38,38,48,123
3,38,38,48,338
3,38,39,41,209
3,38,38,39,272
3,38,39,41,1055
3,38,39,41,1113
3,38,38,41,1121
3,38,32,38,1146
3,38,38,41,533
3,38,309,1080,1379
3,38,39,309,1080
3,38,39,309,1379
3,38,39,48,1638
3,38,39,1818,1819
3,38,41,45,48
3,38,39,65,255
3,38,39,41,62
3,38,39,48,2515
3,38,39,48,2793
3,38,39,48,2080
3,38,39,48,2673
3,38,41,48,2987
3,38,38,48,156
3,38,39,48,406
3,38,32,39,1659
3,38,795,1818,1819
3,38,39,48,164
3,38,39,41,704
3,38,39,41,1027
3,38,39,41,2118
3,38,32,39,76
3,38,38,39,103
3,38,32,38,237
3,38,48,107,1067
3,38,48,60,89
3,38,39,48,939
3,38,39,48,911
3,38,39,1818,3311
3,38,39,41,4336
3,38,39,48,346
3,38,32,41,824
3,38,41,48,916
3,38,39,237,249
3,38,39,2284,2505
3,38,32,39,200
3,38,32,39,3616
3,38,41,48,8691
3,38,38,48,8978
3,38,32,41,8978
3,38,39,48,9669
3,37,38,39,179
3,37,32,48,570
3,37,41,48,408
3,37,39,48,694
3,37,39,48,649
3,37,39,48,811
3,37,39,48,892
3,37,32,41,117
3,37,41,48,1013
3,37,41,48,105
3,37,38,39,76
3,37,39,48,1313
3,37,41,48,1214
3,37,48,65,475
3,37,48,89,170
3,37,39,89,1327
3,37,39,41,136
3,37,32,48,107
3,37,48,65,255
3,37,39,48,2011
3,37,41,271,2238
3,37,32,38,371
3,37,38,170,310
3,37,38,39,338
3,37,39,48,2626
3,37,39,65,1327
3,37,38,41,156
3,37,41,48,1144
3,37,39,48,2792
3,37,32,48,201
3,37,1818,1819,3311
3,37,39,41,2775
3,37,41,48,2383
3,37,39,48,2991
3,37,39,225,1146
3,37,32,48,976
3,37,39,48,652
3,37,41,48,1113
3,37,39,48,3964
3,37,39,48,1404
3,37,39,48,2749
3,37,39,41,2987
3,37,39,41,514
3,37,41,48,2284
3,37,39,48,4251
3,37,41,48,675
3,37,41,48,865
3,37,39,48,1619
3,37,39,41,1930
3,37,32,48,258
3,37,39,48,1308
3,37,32,39,488
3,37,39,48,534
3,37,39,41,490
3,37,32,48,3616
3,37,41,48,769
3,37,38,647,769
3,36,39,48,381
3,36,38,48,258
3,36,48,107,549
3,36,41,48,734
3,36,39,48,757
3,36,38,39,548
3,36,39,48,1249
3,36,309,1080,1269
3,36,38,41,264
3,36,39,41,1513
3,36,41,48,66
3,36,39,48,612
3,36,38,110,1327
3,36,39,795,1818
3,36,39,48,1818
3,36,41,65,310
3,36,39,48,222
3,36,39,41,398
3,36,39,48,2599
3,36,38,39,1715
3,36,39,48,2259
3,36,39,89,475
3,36,38,41,78
3,36,39,41,2673
3,36,38,39,544
3,36,38,39,522
3,36,795,1818,3311
3,36,39,41,2383
3,36,39,48,232
3,36,39,48,3323
3,36,41,48,751
3,36,39,41,1786
3,36,32,38,790
3,36,38,41,3616
3,36,41,48,2633
3,36,39,60,89
3,36,39,48,3827
3,36,41,48,3966
3,36,41,48,1417
3,36,32,48,812
3,36,41,48,1043
3,36,41,48,4336
3,36,39,41,420
3,36,39,48,3840
3,36,39,48,1126
3,36,48,225,310
3,36,32,39,2056
3,36,39,41,432
3,36,41,48,9555
3,36,39,48,10490
3,35,39,175,178
3,35,32,47,48
3,35,39,48,199
3,35,41,48,341
3,35,41,48,371
3,35,39,41,408
3,35,39,48,597
3,35,39,48,684
3,35,39,48,805
3,35,39,48,828
3,35,39,48,861
3,35,39,48,893
3,35,39,41,75
3,35,32,39,548
3,35,39,48,1003
3,35,39,48,1192
3,35,39,48,1229
3,35,32,48,789
3,35,39,48,587
3,35,309,1378,1379
3,35,1080,1378,1379
3,35,309,1080,1380
3,35,39,1378,1379
3,35,38,65,170
3,35,32,48,749
3,35,38,41,1590
3,35,38,48,592
3,35,38,48,1198
3,35,41,48,1557
3,35,39,48,1808
3,35,39,48,1280
3,35,48,89,1327
3,35,48,89,237
3,35,39,170,1327
3,35,39,48,1591
3,35,39,48,611
3,35,32,38,89
3,35,39,41,341
3,35,38,48,1188
3,35,41,48,62
3,35,38,41,783
3,35,41,48,2241
3,35,39,41,56
3,35,38,39,664
3,35,39,48,1378
3,35,48,89,201
3,35,48,89,475
3,35,39,41,1196
3,35,38,41,117
3,35,41,48,2673
3,35,41,48,2325
3,35,39,41,2991
3,35,39,48,2874
3,35,32,39,201
3,35,39,79,225
3,35,32,48,1659
3,35,795,1819,3311
3,35,48,164,165
3,35,38,39,2958
3,35,38,48,2958
3,35,39,48,3194
3,35,32,39,103
3,35,39,41,647
3,35,39,48,351
3,35,41,48,2343
3,35,32,39,156
3,35,38,48,103
3,35,32,41,846
3,35,39,795,1819
3,35,32,41,1004
3,35,39,48,4198
3,35,39,41,2051
